Energy_eV,Li6_barn,Li7_barn,B10_barn,Gd155_barn,Gd157_barn,H1_barn,O16_barn
2.002285e-05,3.336836e+04,1.614458e+00,1.366394e+05,1.742415e+06,6.854205e+06,1.180464e+01,6.755409e-03
2.030858e-05,3.313189e+04,1.603016e+00,1.356710e+05,1.730077e+06,6.805665e+06,1.172098e+01,6.707536e-03
2.059839e-05,3.289542e+04,1.591575e+00,1.347027e+05,1.717740e+06,6.757125e+06,1.163733e+01,6.659663e-03
2.089233e-05,3.265917e+04,1.580144e+00,1.337353e+05,1.705535e+06,6.709108e+06,1.155375e+01,6.611834e-03
2.119046e-05,3.243240e+04,1.569171e+00,1.328067e+05,1.693649e+06,6.662340e+06,1.147352e+01,6.565923e-03
2.149285e-05,3.220562e+04,1.558199e+00,1.318781e+05,1.681762e+06,6.615573e+06,1.139330e+01,6.520012e-03
2.179955e-05,3.197884e+04,1.547226e+00,1.309495e+05,1.669875e+06,6.568806e+06,1.131307e+01,6.474101e-03
2.211063e-05,3.175206e+04,1.536253e+00,1.300209e+05,1.657988e+06,6.522038e+06,1.123285e+01,6.428190e-03
2.242615e-05,3.152528e+04,1.525281e+00,1.290922e+05,1.646200e+06,6.475659e+06,1.115262e+01,6.382279e-03
2.274617e-05,3.130148e+04,1.514452e+00,1.281758e+05,1.634717e+06,6.430483e+06,1.107345e+01,6.336970e-03
2.307076e-05,3.108497e+04,1.503976e+00,1.272892e+05,1.623235e+06,6.385308e+06,1.099685e+01,6.293138e-03
2.339998e-05,3.086846e+04,1.493500e+00,1.264026e+05,1.611753e+06,6.340132e+06,1.092026e+01,6.249305e-03
2.373390e-05,3.065195e+04,1.483024e+00,1.255160e+05,1.600270e+06,6.294957e+06,1.084366e+01,6.205472e-03
2.407258e-05,3.043544e+04,1.472549e+00,1.246294e+05,1.588982e+06,6.250544e+06,1.076707e+01,6.161640e-03
2.441610e-05,3.021893e+04,1.462073e+00,1.237428e+05,1.577865e+06,6.206807e+06,1.069047e+01,6.117807e-03
2.476452e-05,3.000242e+04,1.451597e+00,1.228562e+05,1.566749e+06,6.163071e+06,1.061388e+01,6.073974e-03
2.511791e-05,2.978591e+04,1.441121e+00,1.219696e+05,1.555633e+06,6.119334e+06,1.053728e+01,6.030142e-03
2.547634e-05,2.957744e+04,1.431034e+00,1.211160e+05,1.544553e+06,6.075744e+06,1.046353e+01,5.987938e-03
2.583989e-05,2.936955e+04,1.420976e+00,1.202647e+05,1.533770e+06,6.033317e+06,1.038999e+01,5.945851e-03
2.620863e-05,2.916166e+04,1.410917e+00,1.194134e+05,1.522986e+06,5.990891e+06,1.031645e+01,5.903765e-03
2.658262e-05,2.895378e+04,1.400859e+00,1.185622e+05,1.512202e+06,5.948465e+06,1.024291e+01,5.861678e-03
2.696196e-05,2.875268e+04,1.391129e+00,1.177387e+05,1.501419e+06,5.906038e+06,1.017176e+01,5.820966e-03
2.734671e-05,2.855291e+04,1.381463e+00,1.169206e+05,1.490926e+06,5.864755e+06,1.010109e+01,5.780523e-03
2.773694e-05,2.835314e+04,1.371797e+00,1.161026e+05,1.480447e+06,5.823527e+06,1.003042e+01,5.740080e-03
2.813275e-05,2.815338e+04,1.362131e+00,1.152846e+05,1.469968e+06,5.782300e+06,9.959748e+00,5.699637e-03
2.853421e-05,2.795361e+04,1.352466e+00,1.144666e+05,1.459499e+06,5.741116e+06,9.889076e+00,5.659194e-03
2.894139e-05,2.775384e+04,1.342800e+00,1.136485e+05,1.449427e+06,5.701488e+06,9.818404e+00,5.618751e-03
2.935438e-05,2.755407e+04,1.333134e+00,1.128305e+05,1.439355e+06,5.661859e+06,9.747732e+00,5.578308e-03
2.977327e-05,2.736101e+04,1.323792e+00,1.120399e+05,1.429282e+06,5.622231e+06,9.679431e+00,5.539222e-03
3.019814e-05,2.717128e+04,1.314612e+00,1.112630e+05,1.419210e+06,5.582603e+06,9.612312e+00,5.500812e-03
3.062907e-05,2.698155e+04,1.305433e+00,1.104861e+05,1.409137e+06,5.542975e+06,9.545193e+00,5.462402e-03
3.106614e-05,2.679183e+04,1.296253e+00,1.097092e+05,1.399065e+06,5.503347e+06,9.478074e+00,5.423992e-03
3.150946e-05,2.660210e+04,1.287073e+00,1.089323e+05,1.388992e+06,5.463718e+06,9.410956e+00,5.385582e-03
3.195910e-05,2.641238e+04,1.277893e+00,1.081554e+05,1.379293e+06,5.425559e+06,9.343837e+00,5.347172e-03
3.241516e-05,2.622265e+04,1.268713e+00,1.073785e+05,1.369703e+06,5.387828e+06,9.276718e+00,5.308762e-03
3.287772e-05,2.603517e+04,1.259642e+00,1.066108e+05,1.360112e+06,5.350097e+06,9.210393e+00,5.270807e-03
3.334689e-05,2.585363e+04,1.250858e+00,1.058674e+05,1.350522e+06,5.312366e+06,9.146170e+00,5.234054e-03
3.382275e-05,2.567208e+04,1.242074e+00,1.051240e+05,1.340931e+06,5.274634e+06,9.081947e+00,5.197301e-03
3.430540e-05,2.549054e+04,1.233291e+00,1.043806e+05,1.331341e+06,5.236903e+06,9.017724e+00,5.160549e-03
3.479494e-05,2.530900e+04,1.224507e+00,1.036373e+05,1.321834e+06,5.199498e+06,8.953501e+00,5.123796e-03
3.529146e-05,2.512909e+04,1.215802e+00,1.029006e+05,1.312662e+06,5.163416e+06,8.889855e+00,5.087374e-03
3.579507e-05,2.495454e+04,1.207357e+00,1.021858e+05,1.303491e+06,5.127333e+06,8.828105e+00,5.052036e-03
3.630587e-05,2.477999e+04,1.198911e+00,1.014710e+05,1.294319e+06,5.091250e+06,8.766354e+00,5.016698e-03
3.682396e-05,2.460544e+04,1.190466e+00,1.007563e+05,1.285148e+06,5.055167e+06,8.704603e+00,4.981360e-03
3.734944e-05,2.443089e+04,1.182020e+00,1.000415e+05,1.275976e+06,5.019085e+06,8.642853e+00,4.946022e-03
3.788241e-05,2.425634e+04,1.173575e+00,9.932674e+04,1.266872e+06,4.983266e+06,8.581102e+00,4.910685e-03
3.842300e-05,2.408315e+04,1.165195e+00,9.861754e+04,1.258069e+06,4.948633e+06,8.519866e+00,4.875622e-03
3.897129e-05,2.391594e+04,1.157105e+00,9.793283e+04,1.249266e+06,4.914000e+06,8.460895e+00,4.841770e-03
3.952741e-05,2.374873e+04,1.149014e+00,9.724813e+04,1.240464e+06,4.879367e+06,8.401924e+00,4.807918e-03
4.009147e-05,2.358152e+04,1.140924e+00,9.656343e+04,1.231661e+06,4.844733e+06,8.342953e+00,4.774067e-03
4.066358e-05,2.341431e+04,1.132834e+00,9.587872e+04,1.222858e+06,4.810100e+06,8.283982e+00,4.740215e-03
