Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
1.290520e-05,7.327817e+00,6.346006e+00,2.001786e+01,1.903802e+01,3.270791e+01,3.173003e+01,1.076977e+01,9.787954e+00,3.034371e+01,2.936386e+01,4.991765e+01,4.893977e+01,4.902470e+00,3.920658e+00,1.274182e+01,1.176197e+01,2.058117e+01,1.960329e+01
1.308935e-05,7.275585e+00,6.300705e+00,1.987504e+01,1.890211e+01,3.247450e+01,3.150352e+01,1.069302e+01,9.718144e+00,3.012736e+01,2.915443e+01,4.956170e+01,4.859072e+01,4.867575e+00,3.892695e+00,1.265101e+01,1.167808e+01,2.043445e+01,1.946347e+01
1.327614e-05,7.224705e+00,6.256707e+00,1.973618e+01,1.877012e+01,3.224766e+01,3.128354e+01,1.061633e+01,9.648328e+00,2.991105e+01,2.894498e+01,4.920576e+01,4.824164e+01,4.832728e+00,3.864730e+00,1.256025e+01,1.159419e+01,2.028777e+01,1.932365e+01
1.346559e-05,7.173874e+00,6.212710e+00,1.959737e+01,1.863813e+01,3.202086e+01,3.106355e+01,1.054216e+01,9.580997e+00,2.970223e+01,2.874299e+01,4.886230e+01,4.790499e+01,4.798923e+00,3.837758e+00,1.247251e+01,1.151327e+01,2.014611e+01,1.918879e+01
1.365775e-05,7.123092e+00,6.168713e+00,1.945861e+01,1.850614e+01,3.179412e+01,3.084357e+01,1.046884e+01,9.514465e+00,2.949586e+01,2.854340e+01,4.852288e+01,4.757233e+01,4.765488e+00,3.811109e+00,1.238580e+01,1.143333e+01,2.000610e+01,1.905555e+01
1.385264e-05,7.072357e+00,6.124715e+00,1.931989e+01,1.837415e+01,3.156742e+01,3.062358e+01,1.039558e+01,9.447939e+00,2.928956e+01,2.834382e+01,4.818354e+01,4.723970e+01,4.732102e+00,3.784461e+00,1.229913e+01,1.135338e+01,1.986615e+01,1.892230e+01
1.405032e-05,7.022840e+00,6.081888e+00,1.918473e+01,1.824566e+01,3.134663e+01,3.040944e+01,1.032236e+01,9.381407e+00,2.908329e+01,2.814422e+01,4.784422e+01,4.690704e+01,4.698764e+00,3.757812e+00,1.221250e+01,1.127344e+01,1.972624e+01,1.878906e+01
1.425082e-05,6.973410e+00,6.039101e+00,1.904974e+01,1.811730e+01,3.112607e+01,3.019551e+01,1.024919e+01,9.314881e+00,2.887708e+01,2.794464e+01,4.750498e+01,4.657441e+01,4.665471e+00,3.731162e+00,1.212593e+01,1.119349e+01,1.958638e+01,1.865581e+01
1.445418e-05,6.924027e+00,5.996314e+00,1.891480e+01,1.798894e+01,3.090557e+01,2.998157e+01,1.017606e+01,9.248350e+00,2.867090e+01,2.774505e+01,4.716575e+01,4.624175e+01,4.632227e+00,3.704514e+00,1.203940e+01,1.111354e+01,1.944657e+01,1.852257e+01
1.466044e-05,6.874920e+00,5.953756e+00,1.878059e+01,1.786127e+01,3.068626e+01,2.976878e+01,1.010299e+01,9.181824e+00,2.846479e+01,2.754547e+01,4.682659e+01,4.590912e+01,4.599029e+00,3.677865e+00,1.195292e+01,1.103360e+01,1.930680e+01,1.838933e+01
